,Site,Year,Month,Week,x
1,Allanfearn,2021,01,01,69420
2,Allers,2021,01,01,164611
3,Alloa,2021,01,01,111031.666666667
4,Annan,2021,01,01,1193429
5,Armadale,2021,01,01,33772
6,Bathgate,2021,01,01,12293
7,Biggar,2021,01,01,24495
8,Blackburn,2021,01,01,40228.6666666667
9,Blackridge,2021,01,01,2365
10,Blackwood,2021,01,01,120248
11,Bothwellbank,2021,01,01,50564
12,Carbarns,2021,01,01,98845
13,Dalbeattie,2021,01,01,944
14,Daldowie,2021,01,01,189362
15,Dalmuir,2021,01,01,93163.5
16,Dalscone,2021,01,01,NA
17,Dunfermline,2021,01,01,98810
18,Dunnswood,2021,01,01,265453
19,East Calder,2021,01,01,81314
20,Falkirk,2021,01,01,47482
21,Fauldhouse,2021,01,01,115165
22,Fort William,2021,01,01,336
23,Galashiels,2021,01,01,7025
24,Hamilton,2021,01,01,50476
25,Harthill,2021,01,01,26527
26,Hatton,2021,01,01,74751.3333333333
27,Hawick,2021,01,01,185436
28,Helensburgh,2021,01,01,30581
29,Inverclyde,2021,01,01,233525
30,Kirkwall,2021,01,01,670.333333333333
31,Lanark,2021,01,01,63779
32,Lerwick,2021,01,01,642
33,Levenmouth,2021,01,01,56674.75
34,Linlithgow,2021,01,01,64024
35,Lockerbie,2021,01,01,17850.5
36,Mauldslie,2021,01,01,57581
37,Maybole,2021,01,01,NA
38,Meadowhead,2021,01,01,111004
39,Nairn,2021,01,01,14404
40,New Cumnock,2021,01,01,205163
41,Nigg,2021,01,01,126058
42,Peebles,2021,01,01,9128
43,Philipshill,2021,01,01,81968
44,Seafield,2021,01,01,164158
45,Shieldhall,2021,01,01,121552.75
46,Shotts,2021,01,01,62115
47,Stirling,2021,01,01,18502
48,Stonehouse,2021,01,01,28746
49,Stornoway,2021,01,01,945
50,Strathaven,2021,01,01,24462
51,Swinstie,2021,01,01,62809
52,Troqueer,2021,01,01,27997
53,Whitburn,2021,01,01,60622
54,Winchburgh,2021,01,01,25703
55,Allanfearn,2022,01,01,104625.5
56,Allers,2022,01,01,NA
57,Alloa,2022,01,01,215815
58,Alva,2022,01,01,152478
59,Annan,2022,01,01,32704
60,Ardoch,2022,01,01,79569
61,Armadale,2022,01,01,1697777
62,Banchory,2022,01,01,155533
63,Banff,2022,01,01,116272
64,Bathgate,2022,01,01,42000
65,Blackburn,2022,01,01,71588
66,Blackridge,2022,01,01,14070
67,Blackwood,2022,01,01,40460
68,Blairgowrie,2022,01,01,106647
69,Boness,2022,01,01,215601
70,Bothwellbank,2022,01,01,380537
71,Bowhouse,2022,01,01,134210
72,Buckie,2022,01,01,50414
73,Carbarns,2022,01,01,155126
